60  6   1   1
59  45  1   1
59  46  1   1
59  47  1   1
59  48  1   1
59  49  1   1
59  50  1   1
59  51  1   1
58  44  1   1
58  45  1   1
58  46  1   1
57  47  1   1
56  47  1   1
55  30  1   1
54  16  1   1
53  32  1   1
53  33  1   1
53  34  1   1
53  35  1   1
53  36  1   1
52  32  1   1
52  33  1   1
52  34  1   1
52  35  1   1
52  36  1   1
51  32  1   1
51  33  1   1
51  34  1   1
51  35  1   1
51  36  1   1
50  29  1   1
50  30  1   1
50  31  1   1
50  32  1   1
50  33  1   1
50  34  1   1
50  91  1   1
49  29  1   1
1	103	1	0
1	102	1	0
1	104	1	0
2	25	1	0
2	24	1	0
2	26	1	0
3	23	1	0
3	22	1	0
3	24	1	0
4	26	1	0
4	25	1	0
4	27	1	0
5	116	1	0
5	115	1	0
6	116	1	0
6	115	1	0
7	31	1	0
7	30	1	0
7	105	1	0
8	105	1	0
8	106	1	0
9	1	1	0
9	2	1	0
9	3	1	0
10	0	1	0
10	1	1	0
11	51	1	0
11	50	1	0
12	48	1	0
12	49	1	0
12	50	1	0
13	50	1	0
13	49	1	0
14	58	1	0
14	59	1	0
14	60	1	0
15	109	1	0
15	108	1	0
16	111	1	0
16	110	1	0
17	63	1	0
17	64	1	0
17	62	1	0
18	62	1	0
18	63	1	0
18	61	1	0
19	67	1	0
19	68	1	0
19	69	1	0
20	67	1	0
20	68	1	0
20	70	1	0
21	28	1	0
21	27	1	0
21	21	1	0
21	71	1	0
21	67	1	0
21	68	1	0
21	69	1	0
22	67	1	0
22	66	1	0
23	67	1	0
23	68	1	0
23	69	1	0
23	70	1	0
24	74	1	0
24	75	1	0
24	76	1	0
24	73	1	0
25	76	1	0
25	77	1	0
25	75	1	0
26	7	1	0
26	6	1	0
27	93	1	0
27	94	1	0
27	95	1	0
28	75	1	0
28	76	1	0
28	74	1	0
29	16	1	0
29	15	1	0
30	16	1	0
30	17	1	0
31	15	1	0
31	14	1	0
32	15	1	0
32	18	1	0
32	14	1	0
33	15	1	0
33	16	1	0
34	4	1	0
34	18	1	0
34	3	1	0
34	19	1	0
35	18	1	0
35	17	1	0
36	15	1	0
36	14	1	0
37	15	1	0
37	14	1	0
38	3	1	0
38	2	1	0
39	20	1	0
39	19	1	0
40	4	1	0
40	3	1	0
41	3	1	0
41	4	1	0
42	6	1	0
42	7	1	0
42	5	1	0
43	3	1	0
43	4	1	0
43	2	1	0
44	19	1	0
44	22	1	0
44	18	1	0
45	19	1	0
45	22	1	0
45	23	1	0
46	21	1	0
46	22	1	0
46	20	1	0
47	21	1	0
47	22	1	0
47	23	1	0
48  4   1   0
48  28  1   0
48  29  1   0
